Team,Nationality,Position,Age,Potential,Name
SV Zulte Waregem ,Sweden,Lateral Izquierdo,30,Bueno,Erdin Demir
Real Salt Lake ,United States,Arquero,28,Bueno,Zac MacMath
1. FC Kaiserslautern ,Germany,Defensor Central,27,Bueno,Kevin Kraus
Rayo Vallecano ,Morocco,Delantero Centro,29,Bueno,Yacine Qasmi
Frosinone ,Italy,Lateral Izquierdo | Mediocampista Izquierdo,31,Bueno,Salvatore D'Elia
Sociedad Deportiva Aucas ,Ecuador,Delantero Centro,29,Bueno,Edson Montaño
FC Bayern München II ,Germany,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,30,Bueno,Timo Kern
Extremadura UD ,Spain,Defensor Central | Mediocampista Defensivo,29,Bueno,Fran Cruz
Bolton Wanderers ,Scotland,Mediocampista | Mediocampista Ofensivo,28,Bueno,Ali Crawford
Blackburn Rovers ,England,Mediocampista Defensivo,29,Bueno,Richard Smallwood
Hull City ,England,Defensor Central,28,Bueno,Ryan Tafazolli
Hibernian ,Scotland,Defensor Central,34,Bueno,Darren McGregor
Mjøndalen IF ,Denmark,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,30,Bueno,Tonny Brochmann
RKS Raków Czestochowa SA ,Costa Rica,Delantero Centro,28,Bueno,Felicio Brown Forbes
Club Always Ready ,Bolivia,Mediocampista | Mediocampista Ofensivo,28,Bueno,Samuel Galindo
Gençlerbirligi SK ,Turkey,Mediocampista Derecho,30,Bueno,Sefa Yilmaz
Randers FC ,Denmark,Lateral Izquierdo,29,Bueno,Jesper Lauridsen
Hobro IK ,Denmark,Lateral Derecho | Defensor Central,30,Bueno,Jesper Bøge
Envigado FC ,England,Mediocampista Defensivo,31,Bueno,George Saunders
Eintracht Braunschweig ,Germany,Delantero Centro,33,Bueno,Nick Proschwitz
SCR Altach ,Austria,Mediocampista Derecho | Mediocampista Izquierdo,28,Bueno,Marco Meilinger
SV Mattersburg ,Austria,Carrilero Derecho | Mediocampista Defensivo | Mediocampista | Extremo Derecho,32,Bueno,Patrick Salomon
Beijing Sinobo Guoan FC ,China PR,Lateral Derecho | Mediocampista Derecho,31,Bueno,Wang Gang
Venezia ,Romania,Mediocampista Defensivo | Mediocampista,30,Bueno,Sergiu Suciu
Real Racing Club ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,34,Bueno,Abraham
Fútbol Club Juárez ,Mexico,Lateral Derecho | Lateral Izquierdo | Mediocampista,32,Bueno,Alberto Acosta
Lyngby BK ,Denmark,Mediocampista | Mediocampista Ofensivo,28,Bueno,Marcel Rømer
BK Häcken ,Sweden,Mediocampista Defensivo | Mediocampista,33,Bueno,Alexander Faltsetas
SG Dynamo Dresden ,Denmark,Delantero Centro,29,Bueno,Simon Makienok
IK Sirius ,Nigeria,Delantero Centro,31,Bueno,Kennedy Igboananike
Monarcas Morelia ,Mexico,Delantero Centro,29,Bueno,Miguel Angel Sansores
Al Ain FC ,United Arab Emirates,Defensor Central,35,Bueno,Mohanad Salem
SV Meppen ,Poland,Mediocampista Ofensivo,31,Bueno,Marcus Piossek
Club Deportivo Jorge Wilstermann ,Bolivia,Delantero Centro,28,Bueno,Gilbert Álvarez
Mineros de Guayana ,Venezuela,Lateral Izquierdo | Defensor Central,33,Bueno,José Luis Granados
Independiente Medellín ,Venezuela,Defensor Central | Mediocampista Defensivo,30,Bueno,Francisco Flores
FBC Melgar ,Peru,Delantero Centro,30,Bueno,Írven Ávila
Club Alianza Lima ,Peru,Mediocampista Defensivo | Mediocampista,32,Bueno,Josepmir Ballón
Jaguares Fútbol Club ,Colombia,Mediocampista Defensivo,36,Bueno,Yulián Anchico
Club Bolívar ,Bolivia,Lateral Izquierdo | Defensor Central,35,Bueno,Luis Gutiérrez
CD O'Higgins ,Chile,Lateral Izquierdo | Mediocampista Izquierdo,35,Bueno,Roberto Cereceda
Sunderland ,Northern Ireland,Carrilero Derecho | Lateral Derecho | Extremo Derecho,29,Bueno,Conor McLaughlin
Konyaspor ,Turkey,Arquero,30,Bueno,Ertugrul Taskiran
Sunderland ,Northern Ireland,Delantero Centro,29,Bueno,Will Grigg
Newcastle United ,England,Mediocampista Defensivo | Mediocampista,30,Bueno,Jack Colback
CD Tenerife ,Spain,Lateral Izquierdo | Mediocampista Izquierdo,30,Bueno,Isma López
Pordenone ,Italy,Mediocampista | Mediocampista Ofensivo,30,Bueno,Gianvito Misuraca
Bristol Rovers ,England,Mediocampista,28,Bueno,Ollie Clarke
FC Sion ,Switzerland,Arquero,32,Bueno,Kevin Fickentscher
Kalmar FF ,Brazil,Mediocampista,34,Bueno,Romário
FC Luzern ,Switzerland,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,31,Bueno,Pascal Schürpf
SønderjyskE ,Germany,Arquero,31,Bueno,Sebastian Mielitz
Holstein Kiel ,Germany,Defensor Central,33,Bueno,Dominik Schmidt
Wisla Kraków ,Poland,Lateral Derecho,32,Bueno,Lukasz Burliga
FC Admira Wacker Mödling ,Austria,Defensor Central,32,Bueno,Christoph Schösswendter
Chicago Fire Soccer Club ,United States,Arquero,33,Bueno,Bobby Shuttleworth
Gillingham ,England,Mediocampista | Mediocampista Ofensivo,29,Bueno,Olly Lee
SV Wehen Wiesbaden ,Germany,Mediocampista Defensivo | Mediocampista,31,Bueno,Patrick Schönfeld
RKC Waalwijk ,Netherlands,Defensor Central | Mediocampista Defensivo,33,Bueno,Hans Mulder
Wisla Plock ,Georgia,Mediocampista Izquierdo,33,Bueno,Giorgi Merebashvili
Cosenza ,Italy,Delantero Centro | Mediapunta | Extremo Derecho,29,Bueno,Mirko Carretta
Ipswich Town ,England,Mediocampista Derecho | Mediocampista Ofensivo,28,Bueno,Danny Rowe
Tranmere Rovers ,England,Delantero Centro,29,Bueno,Andy Cook
La Spezia ,Morocco,Mediocampista Izquierdo | Extremo Izquierdo,30,Bueno,Soufiane Bidaoui
Western Sydney Wanderers ,Australia,Defensor Central,30,Bueno,Matthew Jurman
Gençlerbirligi SK ,Austria,Mediocampista Defensivo | Mediocampista,31,Bueno,Yasin Pehlivan
Jeonbuk Hyundai Motors ,Korea Republic,Arquero,31,Bueno,Lee Bum Young
Hebei China Fortune FC ,China PR,Delantero Centro,31,Bueno,Dong Xuesheng
Accrington Stanley ,England,Mediocampista Izquierdo,31,Bueno,Sean McConville
La Berrichonne de Châteauroux ,France,Arquero,30,Bueno,Rémi Pillot
Sport Huancayo ,Paraguay,Mediocampista Derecho | Mediocampista | Extremo Izquierdo,34,Bueno,Milton Benítez
KFC Uerdingen 05 ,Slovenia,Defensor Central,33,Bueno,Dominic Maroh
Fleetwood Town ,England,Lateral Izquierdo,29,Bueno,Danny Andrew
R. Oviedo ,Spain,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,31,Bueno,Mossa
KFC Uerdingen 05 ,Germany,Lateral Izquierdo,31,Bueno,Christian Dorda
SD Ponferradina ,Spain,Mediocampista Defensivo | Mediocampista,28,Bueno,Óscar Sielva
Strømsgodset IF ,Norway,Lateral Derecho | Defensor Central,29,Bueno,Niklas Gunnarsson
Al Fateh ,Poland,Mediocampista Izquierdo | Mediocampista Ofensivo,30,Bueno,Michal Janota
AS Nancy Lorraine ,Senegal,Mediocampista Derecho | Mediocampista Izquierdo,33,Bueno,Ousmane Cissokho
MKE Ankaragücü ,DR Congo,Defensor Central | Mediocampista Defensivo,32,Bueno,Wilfred Moke
Forest Green Rovers ,England,Lateral Izquierdo | Carrilero Izquierdo | Extremo Izquierdo,30,Bueno,Joseph Mills
Bradford City ,Republic of Ireland,Mediocampista | Mediocampista Ofensivo,30,Bueno,Jamie Devitt
SG Sonnenhof Großaspach ,Germany,Delantero Centro | Extremo Derecho | Extremo Izquierdo,33,Bueno,Matthias Morys
Adelaide United ,Germany,Mediocampista Defensivo | Mediocampista,33,Bueno,Mirko Boland
Heart of Midlothian ,France,Mediocampista Defensivo | Mediocampista,29,Bueno,Loïc Damour
IFK Norrköping ,Sweden,Mediapunta | Extremo Derecho,31,Bueno,Maic Sema
Bolton Wanderers ,England,Mediocampista Defensivo | Mediocampista,30,Bueno,Luke Murphy
Djurgårdens IF ,Sweden,Arquero,31,Bueno,Tommi Vaiho
AD Alcorcón ,Spain,Delantero Centro,35,Bueno,Sandaza
Bristol Rovers ,England,Mediocampista Izquierdo | Mediocampista,30,Bueno,Liam Sercombe
Pisa ,Italy,Delantero Centro | Extremo Derecho | Extremo Izquierdo,35,Bueno,Gaetano Masucci
Venezia ,Italy,Arquero,39,Bueno,Alberto Pomini
IFK Norrköping ,Luxembourg,Carrilero Derecho | Defensor Central | Mediocampista | Extremo Derecho,30,Bueno,Lars Krogh Gerson
Luton Town ,England,Mediocampista Defensivo | Mediocampista,30,Bueno,Jacob Butterfield
Rochdale ,Republic of Ireland,Mediocampista Defensivo | Mediocampista,31,Bueno,Jimmy Ryan
Heracles Almelo ,Netherlands,Lateral Derecho,32,Bueno,Tim Breukers
Blackburn Rovers ,Northern Ireland,Mediocampista Defensivo,29,Bueno,Corry Evans
SK Brann ,Estonia,Carrilero Derecho | Lateral Derecho | Extremo Derecho,32,Bueno,Taijo Teniste
Sparta Rotterdam ,Netherlands,Defensor Central | Mediocampista Defensivo | Mediocampista,33,Bueno,Adil Auassar
Kilmarnock ,Slovenia,Arquero,32,Bueno,Jan Koprivec
Hibernian ,Hungary,Arquero,32,Bueno,Ádám Bogdán
Free Agents ,Hungary,Delantero Centro,34,Bueno,Róbert Feczesin
Ipswich Town ,Republic of Ireland,Mediocampista Ofensivo | Extremo Izquierdo,31,Bueno,Alan Judge
Hobro IK ,Denmark,Arquero,32,Bueno,Jesper Rask
SønderjyskE ,Denmark,Delantero Centro,30,Bueno,Anders K. Jacobsen
Beijing Sinobo Guoan FC ,China PR,Delantero Centro | Defensor Central,32,Bueno,Yu Dabao
Al Fayha ,Madagascar,Delantero Centro,36,Bueno,Faneva Andriatsima
FC Admira Wacker Mödling ,Austria,Mediocampista Defensivo | Mediocampista | Mediocampista Ofensivo,33,Bueno,Daniel Toth
SCR Altach ,Austria,Arquero,34,Bueno,Martin Kobras
VfL Osnabrück ,Kazakhstan,Lateral Derecho | Lateral Izquierdo | Defensor Central,32,Bueno,Konstantin Engel
Stabæk Fotball ,Norway,Defensor Central,32,Bueno,Yaw Amankwah
Free Agents ,Bulgaria,Lateral Izquierdo | Defensor Central,34,Bueno,Petar Zanev
Empoli ,Italy,Lateral Derecho,35,Bueno,Marcello Gazzola
Mansfield Town ,England,Defensor Central,30,Bueno,Krystian Pearce
Swindon Town ,France,Defensor Central,32,Bueno,Mathieu Baudry
Shanghai Greenland Shenhua FC ,China PR,Lateral Derecho,32,Bueno,Zhao Mingjian
Dalian YiFang FC ,China PR,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,32,Bueno,Zheng Long
Shanghai Greenland Shenhua FC ,China PR,Defensor Central | Mediocampista Defensivo | Mediocampista,33,Bueno,Qin Sheng
Henan Jianye FC ,China PR,Arquero,31,Bueno,Wu Yan
IK Sirius ,Gambia,Lateral Derecho | Defensor Central,32,Bueno,Kebba Ceesay
Shimizu S-Pulse ,Korea DPR,Delantero Centro,36,Bueno,Chong Te Se
Melbourne Victory ,Australia,Lateral Izquierdo | Defensor Central | Mediocampista Defensivo,32,Bueno,Leigh Broxham
New England Revolution ,United States,Arquero,35,Bueno,Brad Knighton
Western United FC ,New Zealand,Defensor Central,38,Bueno,Andrew Durante
CD Lugo ,Spain,Mediocampista Derecho | Extremo Derecho,33,Bueno,Iriome
Randers FC ,Germany,Lateral Derecho | Lateral Izquierdo,31,Bueno,Björn Kopplin
Club Atlético Huracán ,Argentina,Lateral Izquierdo | Defensor Central,35,Bueno,Leandro Grimi
D.C. United ,United States,Arquero,33,Bueno,Chris Seitz
Aarhus AGF ,Denmark,Defensor Central,31,Bueno,Jesper Juelsgård
Port Vale ,England,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,30,Bueno,David Worrall
Western Sydney Wanderers ,Poland,Mediocampista Izquierdo | Mediocampista Ofensivo,33,Bueno,Radoslaw Majewski
Asocia?ia Fotbal Club Hermannstadt ,Portugal,Mediocampista Izquierdo | Mediocampista Ofensivo,33,Bueno,David Caiado
Melbourne City ,Australia,Lateral Izquierdo,31,Bueno,Scott Jamieson
LAFC ,United States,Lateral Izquierdo,36,Bueno,Jordan Harvey
CD Lugo ,Spain,Lateral Izquierdo,32,Bueno,Canella
Trapani ,Italy,Lateral Izquierdo | Mediocampista Izquierdo | Mediocampista,33,Bueno,Luigi Alberto Scaglia
Pisa ,Italy,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,32,Bueno,Danilo Soddimo
FC St. Gallen 1879 ,Switzerland,Delantero Centro | Mediocampista | Mediocampista Ofensivo,32,Bueno,Moreno Costanzo
FC Thun ,Switzerland,Lateral Derecho,32,Bueno,Stefan Glarner
Slask Wroclaw ,Poland,Lateral Derecho | Lateral Izquierdo,34,Bueno,Lukasz Broz
1. FC Nürnberg ,Germany,Arquero,36,Bueno,Patric Klandt
Puebla ,Mexico,Defensor Central | Mediocampista Defensivo,33,Bueno,Jesús Zavala
Centro Atlético Fénix ,Uruguay,Delantero Centro | Extremo Izquierdo,36,Bueno,Maureen Franco
Korona Kielce ,Poland,Delantero Centro | Mediocampista Izquierdo,32,Bueno,Jacek Kielb
Wisla Kraków ,Poland,Mediocampista Defensivo | Mediocampista Derecho,36,Bueno,Rafal Boguski
Chicago Fire Soccer Club ,United States,Lateral Izquierdo,35,Bueno,Jonathan Bornstein
Sarpsborg 08 FF ,Norway,Defensor Central,33,Bueno,Jørgen Horn
Club Social Cultural y Deportivo Blooming,Bolivia,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,37,Bueno,Joselito Vaca
Lincoln City ,Wales,Lateral Derecho,31,Bueno,Neal Eardley
Lincoln City ,England,Defensor Central,32,Bueno,Michael Bostwick
Exeter City ,England,Mediocampista Izquierdo | Mediocampista Ofensivo,32,Bueno,Nicky Law
FC Ingolstadt 04 ,Austria,Arquero,33,Bueno,Marco Knaller
Northampton Town ,England,Mediocampista Defensivo | Mediocampista,34,Bueno,Chris Lines
Yeni Malatyaspor ,Turkey,Mediocampista Defensivo | Mediocampista,33,Bueno,Murat Yildirim
Mansfield Town ,England,Delantero Centro,33,Bueno,Nicky Maynard
Portsmouth ,England,Delantero Centro | Mediapunta,32,Bueno,Brett Pitman
Independiente Santa Fe ,Venezuela,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,34,Bueno,Luis Manuel Seijas
BK Häcken ,Finland,Defensor Central,32,Bueno,Joona Toivio
Denizlispor ,Poland,Arquero,33,Bueno,Adam Stachowiak
R. Zaragoza ,Spain,Delantero Centro,37,Bueno,Linares
Atlanta United ,United States,Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,33,Bueno,Edgar Castillo
Kilmarnock ,Scotland,Arquero,34,Bueno,Jamie MacDonald
Strømsgodset IF ,Norway,Lateral Izquierdo,31,Bueno,Jonathan Parr
Grimsby Town ,Republic of Ireland,Arquero,31,Bueno,James McKeown
Tiburones Rojos de Veracruz ,Mexico,Delantero Centro | Mediocampista Ofensivo,35,Bueno,Ángel Reyna
CFR Cluj ,Romania,Mediocampista Defensivo,37,Bueno,Ovidiu Hoban
Cosenza ,Italy,Defensor Central,34,Bueno,Raffaele Schiavi
Cittadella ,Italy,Delantero Centro,33,Bueno,Francesco Stanco
Yeni Malatyaspor ,Senegal,Mediocampista Derecho | Mediocampista Ofensivo | Extremo Derecho,33,Bueno,Issiar Dia
Swindon Town ,England,Mediocampista Defensivo | Mediocampista,33,Bueno,Anthony Grant
Shrewsbury ,England,Delantero Centro | Mediocampista Derecho,32,Bueno,Shaun Whalley
Odds BK ,Norway,Mediocampista,34,Bueno,Fredrik Nordkvelle
Wycombe Wanderers ,England,Defensor Central,32,Bueno,Darius Charles
Northampton Town ,Wales,Carrilero Derecho | Carrilero Izquierdo | Mediocampista Derecho | Extremo Derecho | Extremo Izquierdo,33,Bueno,Nicky Adams
Oldham Athletic ,England,Defensor Central,33,Bueno,David Wheater
Vålerenga Fotball ,Ghana,Arquero,32,Bueno,Adam Larsen Kwarasey
Bolton Wanderers ,England,Defensor Central,31,Bueno,Jack Hobbs
Gallos Blancos de Querétaro ,Mexico,Delantero Centro | Mediocampista Ofensivo,33,Bueno,Omar Arellano
Tranmere Rovers ,England,Delantero Centro,32,Bueno,James Vaughan
Northampton Town ,Republic of Ireland,Mediocampista Defensivo | Mediocampista,36,Bueno,Alan McCormack
Stevenage ,Scotland,Defensor Central,33,Bueno,Scott Cuthbert
Adelaide United ,Denmark,Defensor Central,34,Bueno,Michael Jakobsen
Legia Warszawa ,Poland,Arquero,37,Bueno,Radoslaw Cierzniak
Trapani ,Italy,Delantero Centro,37,Bueno,Felice Evacuo
Arsenal de Sarandí ,Argentina,Lateral Derecho | Lateral Izquierdo,36,Bueno,Pablo Álvarez
Charlton Athletic ,England,Mediocampista Defensivo | Mediocampista,35,Bueno,Darren Pratley
Urawa Red Diamonds ,Japan,Defensor Central | Mediocampista Defensivo | Mediocampista,38,Bueno,Yuki Abe
Rotherham United ,England,Defensor Central,35,Bueno,Richard Wood
Brisbane Roar ,Australia,Delantero Centro | Extremo Derecho,36,Bueno,Scott McDonald
Extremadura UD ,Spain,Arquero,38,Bueno,Casto
Fotbal Club Boto?ani ,Romania,Lateral Derecho | Mediocampista Derecho,35,Bueno,Mihai Roman
Paris FC ,Brazil,Defensor Central,36,Bueno,Felipe Saad
Vålerenga Fotball ,Norway,Defensor Central,34,Bueno,Johan Lædre Bjørdal
SCR Altach ,Austria,Defensor Central,34,Bueno,Philipp Netzer
Viking FK ,Norway,Arquero,35,Bueno,Iven Austbø
Perth Glory ,Spain,Mediocampista Defensivo | Mediocampista,33,Bueno,Juande
FC Luzern ,Switzerland,Lateral Derecho,36,Bueno,Christian Schwegler
Kashima Antlers ,Japan,Arquero,40,Bueno,Hitoshi Sogahata
Colchester United ,England,Arquero,35,Bueno,Dean Gerken
Lincoln City ,England,Defensor Central,36,Bueno,Jason Shackell
Rotherham United ,England,Lateral Derecho,33,Bueno,Billy Jones
1. FC Magdeburg ,lbania,Defensor Central | Mediocampista Defensivo,34,Bueno,Jürgen Gjasula
Neuchâtel Xamax FCS ,Switzerland,Arquero,36,Bueno,Laurent Walthert
Rochdale ,Republic of Ireland,Defensor Central,34,Bueno,Paul McShane
Yeni Malatyaspor ,Turkey,Arquero,34,Bueno,Ufuk Ceylan
Çaykur Rizespor ,Turkey,Mediocampista Defensivo,33,Bueno,Abdullah Durak
West Ham United ,England,Arquero,34,Bueno,David Martin
BSC Young Boys ,Switzerland,Arquero,37,Bueno,Marco Wölfli
Shamrock Rovers ,Northern Ireland,Arquero,38,Bueno,Alan Mannus
Leicester City ,Switzerland,Arquero,35,Bueno,Eldin Jakupovic
Damac FC ,Tunisia,Mediocampista Defensivo,27,Bueno,Bilel Saidani
Club Sol de América ,Paraguay,Delantero Centro,27,Bueno,Nildo Viera
Club Plaza de Deportes Colonia ,Uruguay,Lateral Derecho | Defensor Central,27,Bueno,Haibrany Ruíz Díaz
Caracas Fútbol Club ,Venezuela,Mediocampista Derecho,26,Bueno,Robert Hernández
C.D. Universidad Católica del Ecuador ,Ecuador,Lateral Derecho,27,Bueno,Andrés López
Free Agents ,Bulgaria,Lateral Izquierdo,28,Bueno,Ivan Goranov
Chemnitzer FC ,Germany,Mediocampista Izquierdo,26,Bueno,Rafael Garcia
Fotbal Club Boto?ani ,lbania,Mediocampista Defensivo | Mediocampista,27,Bueno,Enriko Papa
Club Bolívar ,Bolivia,Defensor Central | Mediocampista Defensivo,28,Bueno,Adrián Jusino
Shimizu S-Pulse ,Brazil,Defensor Central,28,Bueno,Valdo
Málaga CF ,Morocco,Mediocampista Defensivo | Mediocampista,27,Bueno,Badr Boulahroud
Accrington Stanley ,England,Mediocampista,27,Bueno,Sam Finley
Shimizu S-Pulse ,Japan,Delantero Centro | Mediocampista Izquierdo,27,Bueno,Keita Nakamura
Unión La Calera ,Chile,Lateral Derecho | Mediocampista,27,Bueno,Yonathan Andia
SK Brann ,Norway,Defensor Central,28,Bueno,Christian Eggen Rismark
Orlando Pirates ,South Africa,Carrilero Derecho | Lateral Derecho | Extremo Derecho,27,Bueno,Mthokozisi Dube
Puebla ,Uruguay,Lateral Derecho | Defensor Central,28,Bueno,Maximiliano Perg
FC Würzburger Kickers ,Kosovo,Delantero Centro | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Albion Vrenezi
Randers FC ,Denmark,Mediocampista,28,Bueno,Vito Hammershøj-Mistrati
1. FC Kaiserslautern ,Germany,Lateral Izquierdo,27,Bueno,Alexander Nandzik
Lechia Gdansk ,Slovakia,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Jaroslav Mihalík
Minnesota United FC ,United States,Defensor Central,29,Bueno,Brent Kallman
Houston Dynamo ,Denmark,Mediocampista Derecho,25,Bueno,Niko Hansen
Castellammare di Stabia ,Italy,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Luigi Canotto
Lyngby BK ,Denmark,Delantero Centro | Mediocampista Ofensivo,27,Bueno,Frederik Gytkjær
Chicago Fire Soccer Club ,Germany,Delantero Centro | Mediocampista Derecho,26,Bueno,Fabian Herbers
IF Elfsborg ,Sweden,Mediocampista Defensivo | Mediocampista,27,Bueno,Robert Gojani
Waasland-Beveren ,Finland,Defensor Central,29,Bueno,Valtteri Moren
Wolfsberger AC ,Senegal,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Cheikhou Dieng
Motherwell ,England,Delantero Centro | Extremo Derecho | Extremo Izquierdo,27,Bueno,Jermaine Hylton
Impact Montréal ,Canada,Delantero Centro,26,Bueno,Anthony Jackson-Hamel
Desportivo das Aves ,Brazil,Delantero Centro,27,Bueno,Peu
SV Sandhausen ,Germany,Delantero Centro | Mediocampista Ofensivo,27,Bueno,Julius Biada
Suwon Samsung Bluewings ,Korea Republic,Arquero,29,Bueno,Yang Hyung Mo
Carlisle United ,Scotland,Mediocampista Izquierdo | Mediocampista | Mediocampista Ofensivo,27,Bueno,Stefan Scougall
Al Ittihad ,Saudi Arabia,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Abdulaziz Al Bishi
Lillestrøm SK ,Norway,Lateral Izquierdo,27,Bueno,Simen Kind Mikalsen
Club Unión Magdalena S.A ,Colombia,Defensor Central,30,Bueno,Dairin González
Chicago Fire Soccer Club ,Serbia,Mediocampista Ofensivo,26,Bueno,Luka Stojanovic
Club Deportivo Jorge Wilstermann ,Bolivia,Mediocampista Izquierdo,26,Bueno,Jaime Arrascaita
Club Atlético Aldosivi ,Argentina,Mediocampista Derecho | Mediocampista | Mediocampista Ofensivo,27,Bueno,Pablo Becker
CD Cobresal ,Chile,Lateral Izquierdo | Mediocampista Izquierdo,27,Bueno,Marcelo Jorquera
Atlético Huila ,Colombia,Mediocampista Defensivo | Mediocampista Izquierdo | Mediocampista Ofensivo,26,Bueno,Harold Rivera
Sydney FC ,Australia,Lateral Derecho | Mediocampista Defensivo | Mediocampista Derecho,27,Bueno,Paulo Retre
SCR Altach ,Turkey,Defensor Central | Mediocampista Defensivo,30,Bueno,Berkay Dabanli
FK Bodø/Glimt ,Norway,Defensor Central,28,Bueno,Brede Mathias Moe
KFC Uerdingen 05 ,Germany,Arquero,30,Bueno,René Vollath
SpVgg Unterhaching ,Germany,Defensor Central,29,Bueno,Marc Endres
Ettifaq FC ,Saudi Arabia,Delantero Centro | Mediocampista Ofensivo,27,Bueno,Abdullah Al Salem
Deportivo Pasto ,Argentina,Mediocampista Ofensivo,27,Bueno,Cristian Álvarez
SG Dynamo Dresden ,Germany,Arquero,30,Bueno,Patrick Wiegers
Livingston FC ,England,Defensor Central,28,Bueno,Jon Guthrie
Coventry City ,France,Mediocampista Derecho | Extremo Derecho,26,Bueno,Wesley Jobello
Chamois Niortais Football Club ,France,Delantero Centro | Lateral Derecho | Mediocampista Derecho,26,Bueno,Thibaut Vion
Shrewsbury ,Grenada,Mediocampista,27,Bueno,Ollie Norburn
Southend United ,France,Defensor Central | Mediocampista Defensivo | Mediocampista,28,Bueno,Timothée Dieng
Portsmouth ,Australia,Mediocampista Derecho,26,Bueno,Ryan Williams
Östersunds FK ,Sweden,Mediocampista Derecho | Mediocampista Izquierdo | Extremo Derecho,27,Bueno,Simon Kroon
Livingston FC ,Scotland,Lateral Derecho,26,Bueno,Nicky Devlin
Forest Green Rovers ,England,Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Rob Hall
Castellammare di Stabia ,Italy,Mediocampista Defensivo | Mediocampista,27,Bueno,Simone Calvano
Shrewsbury ,England,Defensor Central,27,Bueno,Ethan Ebanks-Landell
Forest Green Rovers ,Northern Ireland,Mediocampista Defensivo | Mediocampista,27,Bueno,Carl Winchester
Wisla Kraków ,Poland,Defensor Central,28,Bueno,Rafal Janicki
Colchester United ,England,Defensor Central,28,Bueno,Tom Eastman
Heart of Midlothian ,Congo,Lateral Derecho | Defensor Central,30,Bueno,Clévid Dikamona
Cruz Azul ,Mexico,Arquero,29,Bueno,Guillermo Allison
Shrewsbury ,Grenada,Defensor Central,28,Bueno,Omar Beckles
Sportverein Waldhof Mannheim 07 e.V. ,Germany,Lateral Derecho | Lateral Izquierdo | Defensor Central,29,Bueno,Kevin Conrad
Club Necaxa ,Mexico,Delantero Centro,27,Bueno,Luis Madrigal
Luton Town ,England,Arquero,29,Bueno,James Shea
Ipswich Town ,England,Lateral Izquierdo | Carrilero Izquierdo | Mediocampista Izquierdo | Extremo Izquierdo,27,Bueno,Luke Garbutt
Slask Wroclaw ,Hungary,Defensor Central,26,Bueno,Márk Tamás
CS Emelec ,Ecuador,Extremo Izquierdo,25,Bueno,Jefferson Caicedo
Free Agents ,Hungary,Lateral Izquierdo | Mediocampista Izquierdo,27,Bueno,Zsolt Nagy
Patronato ,Argentina,Mediocampista Izquierdo | Extremo Izquierdo,25,Bueno,Agustín Sufi
Denizlispor ,Turkey,Defensor Central,27,Bueno,Oguz Yilmaz
San Jose Earthquakes ,United States,Mediocampista Defensivo | Mediocampista,24,Bueno,Luis Felipe
Vissel Kobe ,Japan,Arquero,25,Bueno,Daiya Maekawa
AC Horsens ,Denmark,Mediocampista,26,Bueno,Bjarke Jacobsen
SSV Jahn Regensburg ,Germany,Arquero,28,Bueno,Kevin Kunz
St. Mirren ,Tunisia,Delantero Centro,27,Bueno,Seifedin Chabbi
KFC Uerdingen 05 ,Lithuania,Defensor Central | Mediocampista Defensivo,27,Bueno,Edvinas Girdvainis
Asocia?ia Fotbal Club Hermannstadt ,Portugal,Arquero,27,Bueno,Emanuel Novo
Lyngby BK ,Denmark,Defensor Central | Mediocampista Defensivo,28,Bueno,Kasper Enghardt
Venezia ,Italy,Mediocampista Izquierdo | Mediocampista | Extremo Derecho,27,Bueno,Marco Firenze
Hobro IK ,Tunisia,Delantero Centro | Mediocampista Derecho | Mediocampista Izquierdo,26,Bueno,Imed Louati
Sporting Kansas City ,United States,Lateral Izquierdo,27,Bueno,Amadou Dia
Hebei China Fortune FC ,China PR,Defensor Central,27,Bueno,Jin Yangyang
Carlisle United ,England,Extremo Derecho | Extremo Izquierdo,25,Bueno,Nathan Thomas
Club Deportivo Oriente Petrolero ,Bolivia,Arquero,28,Bueno,Romel Quiñonez
La Equidad ,Colombia,Defensor Central | Mediocampista,27,Bueno,Alex Rambal
TSV Hartberg ,Austria,Mediocampista Defensivo | Mediocampista,28,Bueno,Peter Tschernegg
