Team,Nationality,Position,Age,Potential,Name
Borussia Mönchengladbach ,Switzerland,Defensor Central | Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Denis Zakaria
Paris Saint-Germain ,France,Defensor Central,24,Muy Bueno,Presnel Kimpembe
Liverpool ,Guinea,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Naby Keïta
Real Madrid ,Spain,Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Marco Asensio
LOSC Lille ,France,Arquero,25,Muy Bueno,Mike Maignan
Atlético Madrid ,France,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,24,Muy Bueno,Thomas Lemar
Olympique Lyonnais ,France,Delantero Centro,24,Muy Bueno,Moussa Dembélé
Manchester City ,Portugal,Lateral Derecho,26,Muy Bueno,João Cancelo
Real Madrid ,France,Arquero,27,Muy Bueno,Alphonse Areola
West Ham United ,Czech Republic,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Tomáš Soucek
Ajax ,Brazil,Mediocampista Ofensivo | Extremo Derecho,23,Muy Bueno,David Neres
Real Madrid ,France,Lateral Izquierdo,25,Muy Bueno,Ferland Mendy
Atlético Madrid ,Spain,Mediocampista Defensivo | Mediocampista,25,Muy Bueno,Marcos Llorente
Arsenal ,Uruguay,Mediocampista Defensivo | Mediocampista,24,Muy Bueno,Lucas Torreira
Arsenal ,Spain,Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Dani Ceballos
Lazio ,Argentina,Delantero Centro | Mediocampista Ofensivo | Mediapunta,25,Muy Bueno,Joaquín Correa
Bayer 04 Leverkusen ,Germany,Defensor Central,24,Muy Bueno,Jonathan Tah
SL Benfica ,Greece,Arquero,26,Muy Bueno,Odisseas Vlachodimos
Valencia CF ,Spain,Lateral Izquierdo,25,Muy Bueno,Gayà
Dynamo Kyiv ,Ukraine,Mediocampista Derecho | Mediocampista Izquierdo,22,Muy Bueno,Viktor Tsygankov
Dinamo Zagreb ,Croatia,Arquero,25,Muy Bueno,Dominik Livakovic
RCD Espanyol ,Spain,Mediocampista Derecho | Mediocampista,22,Muy Bueno,Melendo
Valencia CF ,Spain,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista,23,Muy Bueno,Carlos Soler
RB Leipzig ,France,Delantero Centro | Mediocampista | Mediocampista Ofensivo,22,Muy Bueno,Christopher Nkunku
SV Werder Bremen ,Kosovo,Mediapunta | Extremo Derecho | Extremo Izquierdo,24,Muy Bueno,Milot Rashica
Chelsea ,United States,Mediocampista Izquierdo | Extremo Derecho | Extremo Izquierdo,21,Muy Bueno,Christian Pulisic
AS Monaco Football Club SA ,Russia,Mediocampista | Mediocampista Ofensivo,24,Muy Bueno,Alexandr Golovin
Real Sociedad ,Spain,Mediocampista,24,Muy Bueno,Merino
Wolverhampton Wanderers ,Portugal,Mediapunta | Extremo Izquierdo,23,Muy Bueno,Diogo Jota
Olympique Lyonnais ,Belgium,Defensor Central,25,Muy Bueno,Jason Denayer
Newcastle United ,France,Delantero Centro | Mediocampista Izquierdo | Extremo Izquierdo,23,Muy Bueno,Allan Saint-Maximin
Atlético Madrid ,Brazil,Lateral Izquierdo,22,Muy Bueno,Renan Lodi
Ajax ,Argentina,Defensor Central | Mediocampista Defensivo,22,Muy Bueno,Lisandro Martínez
Borussia Dortmund ,France,Defensor Central,21,Muy Bueno,Dan-Axel Zagadou
Manchester United ,Scotland,Mediocampista Defensivo | Mediocampista,23,Muy Bueno,Scott McTominay
LOSC Lille ,France,Mediocampista Derecho | Mediocampista Ofensivo,22,Muy Bueno,Jonathan Ikoné
Chelsea ,England,Delantero Centro,22,Muy Bueno,Tammy Abraham
Stade de Reims ,Serbia,Arquero,24,Muy Bueno,Predrag Rajkovic
Sevilla FC ,France,Defensor Central,21,Muy Bueno,Jules Koundé
Villarreal CF ,Spain,Defensor Central,23,Muy Bueno,Pau Torres
PFC CSKA Moscow ,Croatia,Mediocampista Izquierdo | Mediocampista Ofensivo,22,Muy Bueno,Nikola Vlašic
FC Porto ,Colombia,Mediocampista Izquierdo,23,Muy Bueno,Luis Díaz
Borussia Mönchengladbach ,Germany,Mediocampista | Mediocampista Ofensivo,23,Muy Bueno,Florian Neuhaus
West Ham United ,England,Mediocampista Defensivo | Mediocampista,21,Muy Bueno,Declan Rice
Real Sociedad ,Sweden,Delantero Centro,20,Muy Bueno,Alexander Isak
Villarreal CF ,Nigeria,Mediocampista Derecho,21,Muy Bueno,Samuel Chukwueze
Burnley ,England,Mediocampista Izquierdo,20,Muy Bueno,Dwight McNeil
FC Schalke 04 ,Turkey,Defensor Central,20,Muy Bueno,Ozan Kabak
Club Brugge KV ,Senegal,Mediocampista Derecho | Mediocampista Izquierdo,21,Muy Bueno,Krépin Diatta
Juventus ,Turkey,Defensor Central,22,Muy Bueno,Merih Demiral
Fiorentina ,Italy,Delantero Centro,22,Muy Bueno,Patrick Cutrone
AZ ,Netherlands,Extremo Derecho,21,Muy Bueno,Calvin Stengs
Arsenal ,France,Mediocampista Defensivo | Mediocampista,21,Muy Bueno,Mattéo Guendouzi
Chelsea ,England,Defensor Central,22,Muy Bueno,Fikayo Tomori
PSV ,Netherlands,Delantero Centro | Extremo Izquierdo,21,Muy Bueno,Donyell Malen
Arsenal ,Scotland,Lateral Izquierdo,23,Muy Bueno,Kieran Tierney
Bayer 04 Leverkusen ,Burkina Faso,Defensor Central,21,Muy Bueno,Edmond Tapsoba
Sporting CP ,Portugal,Arquero,21,Muy Bueno,Luís Maximiano
Valencia CF ,Korea Republic,Mediocampista Derecho | Mediocampista Izquierdo | Mediocampista Ofensivo,19,Muy Bueno,Kangin Lee
